;gene_id;tr_id;cluster
0;FBgn0000071;FBtr0081619;1
1;FBgn0000071;FBtr0081620;1
2;FBgn0000117;FBtr0332583;4
3;FBgn0000163;FBtr0343764;3
4;FBgn0000180;FBtr0079929;2
5;FBgn0000180;FBtr0329984;2
6;FBgn0000395;FBtr0071610;2
7;FBgn0000439;FBtr0081621;1
8;FBgn0000489;FBtr0075529;4
9;FBgn0000490;FBtr0077775;10
10;FBgn0000542;FBtr0070606;4
11;FBgn0000542;FBtr0112802;3
12;FBgn0000723;FBtr0082051;1
13;FBgn0000723;FBtr0082052;4
14;FBgn0001090;FBtr0074658;11
15;FBgn0001123;FBtr0072142;5
16;FBgn0001235;FBtr0100455;2
17;FBgn0001235;FBtr0344145;1
18;FBgn0001316;FBtr0343526;4
19;FBgn0001320;FBtr0078283;4
20;FBgn0001320;FBtr0344836;10
21;FBgn0001323;FBtr0346815;2
22;FBgn0001325;FBtr0072449;6
23;FBgn0002543;FBtr0077941;1
24;FBgn0002543;FBtr0329985;1
25;FBgn0002590;FBtr0345132;4
26;FBgn0002873;FBtr0308326;8
27;FBgn0002873;FBtr0308329;4
28;FBgn0002931;FBtr0330637;2
29;FBgn0002945;FBtr0075039;1
30;FBgn0002985;FBtr0077557;4
31;FBgn0003002;FBtr0078836;2
32;FBgn0003041;FBtr0076774;4
33;FBgn0003041;FBtr0306647;3
34;FBgn0003254;FBtr0086512;4
35;FBgn0003254;FBtr0330058;4
36;FBgn0003261;FBtr0078654;3
37;FBgn0003308;FBtr0082704;1
38;FBgn0003326;FBtr0087855;3
39;FBgn0003326;FBtr0087856;3
40;FBgn0003463;FBtr0074063;4
41;FBgn0003463;FBtr0340346;3
42;FBgn0003716;FBtr0079089;4
43;FBgn0003731;FBtr0071653;1
44;FBgn0003731;FBtr0071654;10
45;FBgn0003866;FBtr0085906;5
46;FBgn0003892;FBtr0089427;2
47;FBgn0003896;FBtr0342921;1
48;FBgn0003900;FBtr0100130;4
49;FBgn0004102;FBtr0331305;10
50;FBgn0004362;FBtr0345487;2
51;FBgn0004368;FBtr0301796;3
52;FBgn0004394;FBtr0080393;2
53;FBgn0004456;FBtr0340190;5
54;FBgn0004512;FBtr0087801;2
55;FBgn0004595;FBtr0304605;2
56;FBgn0004635;FBtr0072694;4
57;FBgn0004646;FBtr0071037;2
58;FBgn0004795;FBtr0340030;4
59;FBgn0004828;FBtr0071346;6
60;FBgn0004859;FBtr0089178;1
61;FBgn0004861;FBtr0070432;2
62;FBgn0004861;FBtr0301515;2
63;FBgn0004956;FBtr0112847;10
64;FBgn0005636;FBtr0072267;9
65;FBgn0005636;FBtr0330612;9
66;FBgn0005672;FBtr0081270;1
67;FBgn0008636;FBtr0071556;6
68;FBgn0010105;FBtr0075579;5
69;FBgn0010215;FBtr0339894;1
70;FBgn0010228;FBtr0071673;5
71;FBgn0010228;FBtr0071674;5
72;FBgn0010228;FBtr0342960;1
73;FBgn0010280;FBtr0114589;20
74;FBgn0010300;FBtr0081160;1
75;FBgn0010382;FBtr0080777;4
76;FBgn0010452;FBtr0075890;5
77;FBgn0010452;FBtr0330075;5
78;FBgn0010473;FBtr0089268;14
79;FBgn0010473;FBtr0301864;4
80;FBgn0010651;FBtr0086635;5
81;FBgn0010651;FBtr0345426;5
82;FBgn0011723;FBtr0332070;4
83;FBgn0011723;FBtr0332071;4
84;FBgn0011766;FBtr0084118;1
85;FBgn0013272;FBtr0071813;5
86;FBgn0013272;FBtr0071815;1
87;FBgn0013272;FBtr0071816;2
88;FBgn0013272;FBtr0342985;3
89;FBgn0013272;FBtr0342986;2
90;FBgn0013725;FBtr0087516;10
91;FBgn0013733;FBtr0087618;3
92;FBgn0013765;FBtr0087704;2
93;FBgn0013765;FBtr0309888;13
94;FBgn0013765;FBtr0309890;13
95;FBgn0013765;FBtr0309892;3
96;FBgn0014163;FBtr0075413;6
97;FBgn0014163;FBtr0331176;7
98;FBgn0015371;FBtr0305217;6
99;FBgn0015773;FBtr0073942;1
100;FBgn0015773;FBtr0308337;1
101;FBgn0015903;FBtr0072070;5
102;FBgn0016059;FBtr0086891;3
103;FBgn0016977;FBtr0306341;2
104;FBgn0016977;FBtr0330652;3
105;FBgn0019650;FBtr0089185;5
106;FBgn0019968;FBtr0087357;1
107;FBgn0020304;FBtr0078037;2
108;FBgn0023214;FBtr0086652;5
109;FBgn0024236;FBtr0345601;1
110;FBgn0026059;FBtr0303845;1
111;FBgn0026061;FBtr0075399;5
112;FBgn0026160;FBtr0076267;2
113;FBgn0026179;FBtr0111038;8
114;FBgn0026319;FBtr0077429;1
115;FBgn0026376;FBtr0075794;2
116;FBgn0026376;FBtr0075796;3
117;FBgn0027660;FBtr0075233;1
118;FBgn0027660;FBtr0075234;5
119;FBgn0027660;FBtr0339898;1
120;FBgn0028371;FBtr0301377;1
121;FBgn0028491;FBtr0070610;1
122;FBgn0028789;FBtr0076522;2
123;FBgn0028953;FBtr0086922;6
124;FBgn0028953;FBtr0345417;6
125;FBgn0030360;FBtr0339626;2
126;FBgn0031001;FBtr0074674;2
127;FBgn0031632;FBtr0077384;2
128;FBgn0031632;FBtr0336962;1
