gene,target_id,cluster
FBgn0000071,FBtr0081619,1
FBgn0000071,FBtr0081620,1
FBgn0000117,FBtr0332583,4
FBgn0000163,FBtr0343764,3
FBgn0000180,FBtr0079929,2
FBgn0000180,FBtr0329984,2
FBgn0000229,FBtr0302378,5
FBgn0000233,FBtr0071379,6
FBgn0000395,FBtr0071610,2
FBgn0000411,FBtr0333034,14
FBgn0000411,FBtr0333035,10
FBgn0000439,FBtr0081621,1
FBgn0000449,FBtr0073205,2
FBgn0000477,FBtr0083538,5
FBgn0000489,FBtr0075529,4
FBgn0000490,FBtr0077773,3
FBgn0000490,FBtr0077775,10
FBgn0000542,FBtr0070606,4
FBgn0000542,FBtr0112802,3
FBgn0000565,FBtr0075552,13
FBgn0000591,FBtr0084961,5
FBgn0000606,FBtr0088390,2
FBgn0000629,FBtr0334067,3
FBgn0000658,FBtr0086754,1
FBgn0000723,FBtr0082051,1
FBgn0000723,FBtr0082052,4
FBgn0001077,FBtr0081625,2
FBgn0001090,FBtr0074656,4
FBgn0001090,FBtr0074657,2
FBgn0001090,FBtr0074658,11
FBgn0001099,FBtr0091757,12
FBgn0001123,FBtr0072142,5
FBgn0001123,FBtr0301411,1
FBgn0001185,FBtr0335138,1
FBgn0001235,FBtr0100455,2
FBgn0001235,FBtr0344145,1
FBgn0001254,FBtr0073141,1
FBgn0001258,FBtr0077008,2
FBgn0001316,FBtr0343526,4
FBgn0001320,FBtr0078283,4
FBgn0001320,FBtr0344836,10
FBgn0001323,FBtr0346815,2
FBgn0001325,FBtr0072449,6
FBgn0002431,FBtr0339599,1
FBgn0002525,FBtr0307058,3
FBgn0002525,FBtr0307059,3
FBgn0002543,FBtr0077941,1
FBgn0002543,FBtr0329985,1
FBgn0002590,FBtr0345132,4
FBgn0002631,FBtr0084979,5
FBgn0002633,FBtr0084960,1
FBgn0002732,FBtr0084956,5
FBgn0002873,FBtr0308326,8
FBgn0002873,FBtr0308329,4
FBgn0002931,FBtr0330637,2
FBgn0002945,FBtr0075039,1
FBgn0002985,FBtr0077557,4
FBgn0003002,FBtr0078836,2
FBgn0003041,FBtr0076774,4
FBgn0003041,FBtr0306647,3
FBgn0003067,FBtr0086701,1
